Comment,Rating,PhoBERT_Text,SVM_Text
Mình goin trà thạch đào và cà phê nâu đá thì trà thạch đào bị ngọt và không có vị chua. Anh chủ cho rất nhiều loại thạch nhưng cá nhân mình thấy không hợp lắm. Cafe nâu nóng thì tệ. Khét và ko có độ đậm đà. Không gian vỉa hè khá thoảng có thể ngồi mà ko bị ảnh hưởng bởi xe qua lại rất ít. Bên trong quán có cửa kính nhìn ra ngoài và bù lại anh chỉ quán rất niềm nở ahihi và mấy bạn nhân viên chu đáo bạn nào cô đơ zô ngồi tâm hự đêm khuya :)),1,mình goin trà thạch đào và cà_phê nâu đá thì trà thạch đào bị ngọt và không có vị chua anh chủ cho rất nhiều loại thạch nhưng cá_nhân mình thấy không hợp lắm cafe nâu nóng thì tệ khét và không có độ đậm_đà không_gian vỉa_hè khá thoảng có_thể ngồi mà không bị ảnh_hưởng bởi xe qua_lại rất ít bên trong quán có cửa_kính nhìn ra ngoài và bù lại anh chỉ quán rất niềm_nở ahihi và mấy bạn nhân_viên chu_đáo bạn nào cô đơ zô ngồi tâm hự đêm khuya,goin trà thạch đào cà_phê nâu đá trà thạch đào không vị chua chủ rất thạch nhưng không hợp lắm cafe nâu nóng tệ khét không độ đậm_đà không_gian vỉa_hè thoảng không ảnh_hưởng xe rất quán cửa_kính bù quán rất niềm_nở ahihi mấy nhân_viên chu_đáo đơ zô tâm hự đêm khuya
"Gọi ship qua các app có phải bị tính phần trăm nên quán cho ít đồ không ạ? 

Mình không ham đồ ăn giá rẻ nhưng cũng chưa ăn quán bún chả nào tiết kiệm thịt như quán này. 
48k cho suất bún chả có 3 miếng chả băm và 3 miếng chả miếng thì chắc là ít nhỉ?....

Quán đóng gói sạch sẽ, thịt và nem bọc giấy bạc. Nước mắm đựng trong chai lavie. Có hộp giấy đi kèm để ăn.

Chả nướng mềm vừa phải, cá nhân mình thích hơi xém một chút thì ngon hơn. Nước chấm vừa miệng. 

Ai thích sạch sẽ có thể chọn quán này. Còn mình chắc ko gọi lại vì quá ít so với giá cả.",0,gọi ship qua các app có phải bị tính phần_trăm nên quán cho ít đồ không ạ mình không ham đồ ăn_giá rẻ nhưng cũng chưa ăn quán bún_chả nào tiết_kiệm thịt như quán này 48k cho suất bún_chả có 3 miếng chả băm và 3 miếng chả miếng thì chắc là ít nhỉ quán đóng_gói sạch_sẽ thịt và nem bọc giấy bạc nước_mắm đựng trong chai lavie có hộp giấy đi kèm để ăn chả nướng mềm vừa phải cá_nhân mình thích hơi xém một_chút thì ngon hơn nước_chấm vừa_miệng ai thích sạch_sẽ có_thể chọn quán này còn mình chắc không gọi lại vì quá ít so với giá_cả,gọi ship app phần_trăm quán đồ không không ham đồ ăn_giá rẻ nhưng chưa quán bún_chả tiết_kiệm thịt quán 48k suất bún_chả 3 miếng chả băm 3 miếng chả miếng quán đóng_gói sạch_sẽ thịt nem bọc giấy bạc nước_mắm đựng chai lavie hộp giấy đi kèm chả nướng mềm hơi xém một_chút ngon nước_chấm vừa_miệng sạch_sẽ quán không gọi quá giá_cả
Hôm nay trà rất ngon .  Mình chỉ nghiện trà sữa kem cheeses ở bên shop thôi ạ uống mấy nơi rồi lại quay về đây. Hjhj qúan dễ thương còn bù lại cho m 1 cốc htrc  rất cảm ơn quán nhé. Làm việc rất có tâm chu đáo. Chúc quán làm ăn phát đạt để mình còn có trà sữa ngon uống ạ. Hjhj,1,hôm_nay trà rất ngon mình chỉ nghiện trà sữa kem cheeses ở bên shop thôi ạ uống mấy nơi rồi lại quay về đây hjhj qúan dễ_thương còn bù lại cho mình 1 cốc htrc rất cảm_ơn quán nhé làm_việc rất có tâm chu_đáo chúc quán làm_ăn phát_đạt để mình còn có trà sữa ngon uống ạ hjhj,hôm_nay trà rất ngon nghiện trà sữa kem cheeses shop uống mấy hjhj qúan dễ_thương bù 1 cốc htrc rất quán làm_việc rất tâm chu_đáo chúc quán làm_ăn phát_đạt trà sữa ngon uống hjhj
"Hôm nay lại ghé qua quán ăn tối chút. Mọi lần mình thường ăn bún bò và các loại bún trộn, hôm nay mình có thử bò nhúng dấm xem như nào. Theo như cảm nhận của mình thì nó khá là ngon, thịt bò mềm, ngọt, gân sụn cũng đã được nhà bếp ninh nhừ rất dễ ăn. Nước lẩu thì rất ngon rất hợp với khẩu vị của mình, vì mình thích ăn cay nên cho thêm chút ớt xào vào thì đúng là tuyệt hảo. Và sau cùng vẫn sẽ là chè sương sa hạt lựu cho tròn vị :))",1,hôm_nay lại ghé qua quán ăn tối chút mọi lần mình thường ăn bún_bò và các loại bún trộn hôm_nay mình có thử bò nhúng dấm xem như nào theo như cảm_nhận của mình thì nó khá là ngon thịt bò mềm ngọt gân sụn cũng đã được nhà_bếp ninh nhừ rất dễ ăn nước lẩu thì rất ngon rất hợp với khẩu_vị của mình vì mình thích ăn cay nên cho thêm chút ớt xào vào thì đúng là tuyệt_hảo và sau_cùng vẫn sẽ là chè sương sa hạt lựu cho tròn vị,hôm_nay ghé quán tối chút bún_bò bún trộn hôm_nay thử bò nhúng dấm cảm_nhận ngon thịt bò mềm gân sụn nhà_bếp ninh nhừ rất lẩu rất ngon rất hợp khẩu_vị cay chút ớt xào tuyệt_hảo chè sương sa hạt lựu tròn vị
"Mình gọi 6 món khác nhau, nhưng tất cả đều bị mọi ng chê dở tệ. Món nào cũng ngọt kinh hoàng. Món khúc bạch của mình còn chua như kiểu bị lên men do để lâu ấy , món chè sầu cũng bị mọi ng chê. Sâm dứa phomai thì bột bột chẳng ngậy tí nào.  Giá thì k hề rẻ. Nchung là siêu tệ",0,mình gọi 6 món khác nhau nhưng tất_cả đều bị mọi ng chê dở_tệ món nào cũng ngọt kinh_hoàng món khúc bạch của mình còn chua như kiểu bị lên_men do để lâu ấy món chè sầu cũng bị mọi ng chê sâm dứa phomai thì bột bột chẳng ngậy tí nào giá thì không hề rẻ nchung là siêu_tệ,gọi 6 món nhưng ng chê dở_tệ món kinh_hoàng món khúc bạch chua kiểu lên_men món chè sầu ng chê sâm dứa phomai bột bột chẳng ngậy tí giá không hề rẻ nchung siêu_tệ
"Gà ngonnn, nóng giòn!! Các đồ ăn kèm khác trong menu cũng ok. Chỗ ngồi thoải mái, view đẹp, không gian yên tĩnh, không quá ồn. Nhân viên ở đây chu đáo và nhiệt tình. Được cả giá phù hợp, mình sẽ quay lại. Các bạn nên thử ăn với gia đình hoặc bạn bè nhé!",1,gà ngon nóng giòn các đồ ăn kèm khác trong menu cũng ok chỗ ngồi thoải_mái view đẹp không_gian yên_tĩnh không quá ồn nhân_viên ở đây chu_đáo và nhiệt_tình được cả giá phù_hợp mình sẽ quay lại các bạn nên thử ăn với gia_đình hoặc bạn_bè nhé,gà ngon nóng giòn đồ kèm menu ok chỗ thoải_mái view đẹp không_gian yên_tĩnh không quá ồn nhân_viên chu_đáo nhiệt_tình giá thử gia_đình bạn_bè
"Được bạn dắt đi quán nè, bún cá ở đây khá ngon. Bánh đa thì tạm ổn ( vì mình ở sg ra nên k rõ vị chuẩn là ntn) nhưng nhìn chung thì topping khá nhiều, phải nói là ăn ngập mặt luôn ấy.
Tụi mình kêu 1 bún cá, 1 bánh đa trộn tc là 55k. Khá rẻ cho 1 bữa sáng ^^",1,được bạn dắt đi quán nè bún cá ở đây khá ngon bánh_đa thì tạm ổn vì mình ở sg ra nên không rõ vị chuẩn là ntn nhưng nhìn_chung thì topping khá nhiều phải nói là ăn ngập mặt luôn ấy tụi mình kêu 1 bún cá 1 bánh_đa trộn tc là 55k khá rẻ cho 1 bữa sáng,dắt đi quán nè bún cá ngon bánh_đa tạm ổn sg không vị chuẩn ntn nhưng topping ngập mặt tụi kêu 1 bún cá 1 bánh_đa trộn tc 55k rẻ 1 bữa
"Đồ uống dở tệ. chọn Ô long sữa, mà vẫn đắng và nhạt. Do trà sữa vừa pha nóng, nó cho đá vào luôn, hỏi s k nhạt.",0,đồ uống dở_tệ chọn ô long sữa mà vẫn đắng và nhạt do trà sữa vừa pha nóng nó cho đá vào luôn hỏi s không nhạt,đồ uống dở_tệ ô long sữa đắng nhạt trà sữa pha nóng đá s không nhạt
"Cơm gà mà có thêm ít đậu sốt, đỗ luộc và canh nữa. Những chỗ khác có dưa thôi, đùi gà to và chặt đôi cho dễ ăn. Ngon và nhiều, ăn không hết 1 suất luôn. :))) Cơm cũng mềm hơn những chỗ khác mình ăn. Đặt qua Now có mã giảm giá tính ra có 45k 1 suất như hình",1,cơm gà mà có thêm ít đậu sốt đỗ luộc và canh nữa những chỗ khác có dưa thôi đùi gà to và chặt đôi cho dễ ăn ngon và nhiều ăn không hết 1 suất luôn cơm cũng mềm hơn những chỗ khác mình ăn đặt qua now có mã giảm_giá tính ra có 45k 1 suất như hình,cơm gà đậu sốt đỗ luộc canh chỗ dưa đùi gà to chặt đôi ngon không 1 suất cơm mềm chỗ now mã giảm_giá 45k 1 suất hình
"Lần đầu gọi cơm ở đây ăn vì thấy combo có nhiều món mà đều đồng giá 35k mà còn được giảm giá nữa tuy nhiên hơi thất vọng vì chất lượng. Mh gọi 5 hộp cơm, tuy rằng quán có gọi bảo hết 1 số món trong combo đổi sang sườn có đc ko mh ok. Nhưng khi nhận thì lung tung cả lên ko giống tí nào trong các combo đã gọi mà giống kiểu ở chợ. Chắc mh gọi muộn nên hết các đồ hay sao ý toàn thấy củ cải luộc với su hào luộc, mỗi thứ có 1 ít các loại khác nhau. Lại còn thêm khoản ko có đũa với thìa thì ăn kiểu gì. Chưa ăn nhưng đã hoàn toàn ko hài lòng rùi. Chắc lần đầu và cũng là lần cuối gọi ở đây😡",0,lần đầu gọi cơm ở đây ăn vì thấy combo có nhiều món mà đều đồng giá 35k mà còn được giảm_giá nữa tuy_nhiên hơi thất_vọng vì chất_lượng mh gọi 5 hộp cơm tuy_rằng quán có gọi bảo hết 1 số món trong combo đổi sang sườn có được không mh ok nhưng khi nhận thì lung_tung cả lên không giống tí nào trong các combo đã gọi mà giống kiểu ở chợ chắc mh gọi muộn nên hết các đồ hay sao ý toàn thấy củ_cải luộc với su_hào luộc mỗi thứ có 1 ít các loại khác nhau lại còn thêm khoản không có đũa với thìa thì ăn kiểu gì chưa ăn nhưng đã hoàn_toàn không hài_lòng rồi chắc lần đầu và cũng là lần cuối gọi ở đây,đầu gọi cơm combo món đồng giá 35k giảm_giá tuy_nhiên hơi thất_vọng chất_lượng mh gọi 5 hộp cơm quán gọi bảo 1 món combo đổi sườn không mh ok nhưng lung_tung không tí combo gọi kiểu chợ mh gọi muộn đồ toàn củ_cải luộc su_hào luộc 1 khoản không đũa thìa kiểu chưa nhưng không hài_lòng đầu gọi
"Lâu lâu dẫn người yêu đi ăn lẩu. Nghe nói hutong thay đổi giá và thêm món nên muốn thử. Thấy khá hài lòng với sự thay đổi này. Mình rất thích chân gà rút xương. Nên khi được thêm vào buffe mình cực kỳ hài lòng. 
Đặc biệt là cái món tráng miệng ở đây thực sự làm mình thuyết phục. Hứa hẹn sẽ quay lại nhiều lần",1,lâu_lâu dẫn người_yêu đi ăn lẩu nghe nói hutong thay_đổi giá và thêm món nên muốn thử thấy khá hài_lòng với sự thay_đổi này mình rất thích chân gà rút xương nên khi được thêm vào buffe mình cực_kỳ hài_lòng đặc_biệt là cái món tráng_miệng ở đây thực_sự làm mình thuyết_phục hứa_hẹn sẽ quay lại nhiều lần,người_yêu đi lẩu hutong giá món thử hài_lòng rất chân gà rút xương buffe cực_kỳ hài_lòng món tráng_miệng thuyết_phục hứa_hẹn
"Hôm trước mình cùng một người bạn đi uống nước ở Archi cafe. Đây là lần đầu tiên mình uống ở đây. Không gian cũng khá ổn, ngồi nhìn ra phía hồ. Nhưng hôm đó hết bàn ở phía ngoài nên đành vào trong ngồi. Quán cũng khá sạch sẽ, điều hòa mát mẻ. Về nhân viên thì khá là nhiệt tình và nhanh nhẹn. Vừa đến cửa đã chào hỏi và dắt xe hộ. Mình gọi 2 cốc chanh leo giá 40k. và 1 đĩa hướng dương 15k. Tổng thiệt hại là 55k. Cũng khá là rẻ so với hàng khác, rẻ hơn quán Romantic cafe bên cạnh. Có thể nói là khá ổn về mọi thứ.",1,hôm trước mình cùng một người bạn đi uống nước ở archi cafe đây là lần đầu_tiên mình uống ở đây không_gian cũng khá ổn ngồi nhìn ra phía hồ nhưng hôm đó hết bàn ở phía ngoài nên đành vào trong ngồi quán cũng khá sạch_sẽ điều hòa mát_mẻ về nhân_viên thì khá là nhiệt_tình và nhanh_nhẹn vừa đến cửa đã chào_hỏi và dắt xe hộ mình gọi 2 cốc chanh leo giá 40k và 1 đĩa hướng_dương 15k tổng_thiệt_hại là 55k cũng khá là rẻ so với hàng khác rẻ hơn quán romantic cafe bên cạnh có_thể nói là khá ổn về mọi thứ,hôm đi uống archi cafe uống không_gian ổn hồ nhưng hôm bàn đành quán sạch_sẽ hòa mát_mẻ nhân_viên nhiệt_tình nhanh_nhẹn cửa chào_hỏi dắt xe hộ gọi 2 cốc chanh leo giá 40k 1 đĩa hướng_dương 15k tổng_thiệt_hại 55k rẻ hàng rẻ quán romantic cafe cạnh ổn
"KFC - 106 Hoàng Quốc Việt

Thèm gà rán là nhớ ngay đến gà của KFC vừa thơm lại vừa ngon. Mình nghiện luôn ý. Gà rán nóng hổi mới ra lò được phục vụ liền, ăn vừa giòn lại vừa ngon đậm vị thịt, ăn một lần là nhớ mùi vị và chắc chắn sẽ quay lại nhiều lần với kfc.
Đội nhân viên làm việc nhanh nhẹn, thân thiện, phục vụ đồ ăn cho mình rất nhanh, mình không phải chờ đợi quá lâu mặc dù quán đông khách.
Không gian thiết kế đậm chất riêng của kfc, thoáng mát. Khu vực nhà vệ sinh có chút bẩn, có lẽ là do đông khách nên nhân viên không để ý.",1,kfc 106 hoàng quốc việt thèm gà rán là nhớ ngay đến gà của kfc vừa thơm lại vừa ngon mình nghiện luôn ý gà rán nóng_hổi mới ra_lò được phục_vụ liền ăn vừa giòn lại vừa ngon đậm vị thịt ăn một lần là nhớ mùi_vị và chắc_chắn sẽ quay lại nhiều lần với kfc đội nhân_viên làm_việc nhanh_nhẹn thân_thiện phục_vụ đồ ăn cho mình rất nhanh mình không phải chờ_đợi quá lâu mặc_dù quán đông khách không_gian thiết_kế đậm chất riêng của kfc thoáng mát khu_vực nhà vệ_sinh có chút bẩn có_lẽ là do đông khách nên nhân_viên không để_ý,kfc 106 hoàng quốc việt thèm gà rán gà kfc thơm ngon nghiện gà rán nóng_hổi ra_lò phục_vụ liền giòn ngon đậm vị thịt mùi_vị kfc đội nhân_viên làm_việc nhanh_nhẹn thân_thiện phục_vụ đồ rất không chờ_đợi quá mặc_dù quán đông không_gian thiết_kế đậm chất kfc thoáng mát khu_vực vệ_sinh chút bẩn có_lẽ đông nhân_viên không để_ý
"Đồ ăn rất ngon, phục vụ rất nhiệt tình mặc dù đồ đôi khi lên hơi chậm nhưng do quán đông khách có thể bỏ qua",1,đồ ăn rất ngon phục_vụ rất nhiệt_tình mặc_dù đồ đôi_khi lên hơi chậm nhưng do quán đông khách có_thể bỏ_qua,đồ rất ngon phục_vụ rất nhiệt_tình mặc_dù đồ đôi_khi hơi chậm nhưng quán đông bỏ_qua
"Đùa chứ, ông Bún cầu đen cứ tạo vào review ntn ai đỡ đc, nhìn ko chịu đc ngứa mồm phải lập nick review. Ở HĐ gần 40 năm công nhận vài điều:
- Quán lâu đời
- Vị trí đẹp dễ hút khách - ko phải dân Hà đông
- Nổi tiếng - từ xưa rồi - nh giờ tiếng nó ko đi đôi vs thực lực nếu mãi cứ ntn - tập trung PR là chính

Còn độ ngon thì nói thẳng còn lâu mới đc gọi là ngon. Ngoài chả băm tạm được thì có vài điểm trừ sau:
- 1 bát ít thịt + bún, cho ông đàn ông ăn thì phải 2 bát mới đủ, lần nào đi ăn cũng phải gọi thêm
- Chả miếng ăn chả ra gì, kém xa nhiều quán vỉa hè ở khắp mọi nơi ở HN (vì thích ăn bún chả nên tôi hay lê la ăn, quanh HN nội ngoại thành cũng phải ăn tầm 30 quán), chả băm thì ok, nh khi ăn tôi chỉ ăn chả miếng
- Gọi là ngon nhất Hà Đông thì xin lỗi độ ngon phải gọi quán Sơn Xuyến ở Tô Hiệu/Quang Trung ở HĐ  cụ",0,đùa chứ ông bún cầu đen cứ tạo vào review ntn ai đỡ được nhìn không chịu được ngứa_mồm phải lập nick review ở hđ gần 40 năm công_nhận vài điều quán lâu_đời vị_trí đẹp dễ hút khách không phải dân hà đông nổi_tiếng từ xưa rồi nh giờ tiếng nó không đi_đôi với thực_lực nếu mãi cứ ntn tập_trung pr là chính còn độ ngon thì nói_thẳng còn lâu mới được gọi là ngon ngoài chả băm tạm được thì có vài điểm trừ sau 1 bát ít thịt bún cho ông đàn_ông ăn thì phải 2 bát mới đủ lần nào đi ăn cũng phải gọi thêm chả miếng ăn chả ra gì kém xa nhiều quán vỉa_hè ở khắp mọi nơi ở hn vì thích ăn bún_chả nên tôi hay lê_la ăn quanh hn nội ngoại_thành cũng phải ăn tầm 30 quán chả băm thì ok nh khi ăn tôi chỉ ăn chả miếng gọi là ngon nhất hà đông thì xin_lỗi độ ngon phải gọi quán sơn xuyến ở tô hiệu quang trung ở hđ_cụ,đùa bún cầu đen review ntn đỡ không ngứa_mồm lập nick review hđ 40 công_nhận quán lâu_đời đẹp hút không dân hà đông nổi_tiếng xưa nh tiếng không đi_đôi thực_lực mãi ntn pr độ ngon nói_thẳng gọi ngon chả băm tạm trừ 1 bát thịt bún đàn_ông 2 bát đi gọi chả miếng chả kém quán vỉa_hè khắp hn bún_chả lê_la quanh hn nội ngoại_thành tầm 30 quán chả băm ok nh chả miếng gọi ngon hà đông xin_lỗi độ ngon gọi quán sơn xuyến tô hiệu quang trung hđ_cụ
"Tôi cần chia sẻ bí quyết về truyền lại công thức bột pha chế, Các loại sốt, cách làm Takoyaki. Hợp tác xin vui lòng liên hệ: 0927086886/ 0961390910 - Chủ quán Takochan Takoyaki",1,tôi cần chia_sẻ bí_quyết về truyền lại công_thức bột pha_chế các loại sốt cách làm takoyaki hợp_tác xin vui_lòng liên_hệ 0927086886 0961390910 chủ quán takochan takoyaki,bí_quyết truyền công_thức bột pha_chế sốt takoyaki hợp_tác vui_lòng liên_hệ 0927086886 0961390910 chủ quán takochan takoyaki
"Quán này chắc lại giống mấy quán trước , cứ làm được 1 tháng là nghỉ ... dẹp tiệm sang nhượng ... lúc khuyến mãi thì lèo tèo khách , chả biết hết khuyến mãi sẽ như thế nào .",0,quán này chắc lại giống mấy quán trước cứ làm được 1 tháng là nghỉ dẹp_tiệm sang_nhượng lúc khuyến_mãi thì lèo_tèo khách chả biết hết khuyến_mãi sẽ như thế_nào,quán mấy quán 1 nghỉ dẹp_tiệm sang_nhượng khuyến_mãi lèo_tèo chả khuyến_mãi
tớ vừa đặt đơn hàng cánh gà chiên mắm thấy ghi 10 cánh mà về mở ra có 8 cái là sao,0,tớ vừa đặt đơn hàng cánh_gà chiên mắm thấy ghi 10 cánh mà về mở ra có 8 cái là sao,đơn hàng cánh_gà chiên mắm ghi 10 cánh 8
