Comment,Rating,PhoBERT_Text,SVM_Text
"Ðây là em trà s?a mà mình cung m?i du?c b?n ch? cho u?ng này. Ph?i nói là v? trà ? quán này d?m và thom th?t s? luôn ?y m?i ngu?i ?. Không gian quán ki?u c? c?, ?m cúng í ?. Bu?c chân vào quán là ng?i th?y v? trà tràn ng?p không gian luôn r?i á. Các b?n nhân viên thì r?t nhi?t tình, d? tính nha. V? mình hay u?ng là Trà s?a pudding á, phuddinh thom, m?m và ki?u ng?t thanh thanh ?y ?, mình u?ng r?t h?p v? luôn ?. Ngoài ra b?n có th? thêm trà s?a thi?t***thêm trân châu t? ong dó ?. Trân châu t? ong mình th?y r?t ít quán có luôn á, u?ng thích l?m nha. Giá dao d?ng t?m kho?ng 35-60k á. Ngày tru?c quán ch? có size L ?y, lâu nay có thêm size M n?a ?y. Mà mình thì c?m th?y u?ng size M ? quán hoi nh? v?i mình nên toàn qu?t size L không à??",1,dây là em trà s?a mà mình cung m?i du?c b?n ch? cho u?ng này ph?i nói là v? trà ? quán này d?m và thom th?t_s? luôn ?y m?i ngu?i ? không_gian quán ki?u c? c? ?m_cúng í ? bu?c chân vào quán là ng?i th?y v? trà tràn_ng?p không_gian luôn r?i á các b?n nhân_viên thì r?t nhi?t_tình d?_tính nha v? mình hay u?ng là trà s?a pudding á phuddinh thom m?m và ki?u ng?t thanh_thanh ?y ? mình u?ng r?t h?p v? luôn ? ngoài_ra b?n có th? thêm trà s?a thi?t thêm trân_châu t? ong dó ? trân_châu t? ong mình th?y r?t ít quán có luôn á u?ng thích l?m nha giá dao_d?ng t?m kho?ng 35 60k á ngày tru?c quán ch? có size l ?y lâu_nay có thêm size mình n?a ?y mà mình thì c?m_th?y u?ng size mình ? quán hoi nh? v?i mình nên toàn qu?t size l không à,trà s?a u?ng v? trà quán d?m thom không_gian quán ki?u c? c? ?m_cúng í chân quán ng?i v? trà tràn_ng?p không_gian nhân_viên r?t nhi?t_tình d?_tính nha v? u?ng trà s?a pudding phuddinh thom m?m ki?u u?ng r?t h?p v? th? trà s?a thi?t trân_châu t? ong trân_châu t? ong r?t quán u?ng l?m nha giá dao_d?ng t?m 35 60k quán size l size u?ng size quán hoi toàn qu?t size l không
Ð?t su?n c?t l?t hình ?nh có tr?ng mà h mình d?t ko có,0,d?t su?n c?t l?t hình_?nh có tr?ng mà h mình d?t không có,su?n c?t l?t hình_?nh tr?ng h không
Mình v?a d?t 1 su?t gà xé ? quán xong^^ ph?i nói là r?t v?a ý vì com ngon và gà khá nhi?u r?t d?y d? cho m?t b?a trua^^,0,mình v?a d?t 1 su?t gà xé ? quán xong ph?i nói là r?t v?a_ý vì com ngon và gà khá nhi?u r?t d?y_d? cho m?t b?a trua,1 su?t gà xé quán xong r?t v?a_ý com ngon gà r?t d?y_d? b?a trua
"Ð?t ph?n com gà bên này cho b?n tr? con an th? an mà chúng chén h?t s?ch c? gà l?n com . Chúng khen ch? d?t com gà ngon , th?t gà t?m u?p v? d?m có kèm nu?c ch?m nên kh?i c?n d? ch?m nào khác . M?t ph?n khá nhi?u com nên hai d?a an là no cang .",1,d?t ph?n com gà bên này cho b?n tr?_con an th? an mà chúng chén h?t s?ch c? gà l?n com chúng khen ch? d?t com gà ngon th?t gà t?m u?p v? d?m có kèm nu?c_ch?m nên kh?i c?n d? ch?m nào khác m?t ph?n khá nhi?u com nên hai d?a an là no cang,com gà b?n tr?_con th? chén s?ch gà l?n com khen com gà ngon th?t gà t?m u?p v? d?m kèm nu?c_ch?m d? ch?m com hai d?a no cang
Ph? gà dùi 30k + 20k tr?ng non là b?a sáng no nê ??,1,ph? gà dùi 30k 20k tr?ng non là b?a sáng no_nê,ph? gà dùi 30k 20k tr?ng non b?a no_nê
"Cung cách làm vi?c quá thi?u chuyên nghi?p,khi xác d?nh bán hàng online qua các ?ng d?ng d?t d? mang di thì ph?i xác d?nh dc shiper là d?i tác,là ngu?i k?t n?i nhf hàng và khách hàng,dó cung là 1 khách hàng ti?m nang,koh có shiper khách hàng s?n sàng d?t d? t? co s? khác,vì ngu?i ta dã xác d?nh s? koh t? ra ngoài mua d? r?i,bán hàng ki?u t? tay bóp***th? thì nên dóng c?a di",0,cung_cách làm_vi?c quá thi?u chuyên_nghi?p khi xác_d?nh bán hàng online qua các ?ng_d?ng d?t d? mang di thì ph?i xác_d?nh du?c shiper là d?i_tác là ngu?i k?t_n?i nhf hàng và khách_hàng dó cung là 1 khách_hàng ti?m_nang koh có shiper khách_hàng s?n_sàng d?t d? t? co_s? khác vì ngu?i_ta dã xác_d?nh s? koh t? ra ngoài mua d? r?i bán hàng ki?u t? tay bóp th?_thì nên dóng_c?a di,cung_cách làm_vi?c quá chuyên_nghi?p xác_d?nh hàng online ?ng_d?ng d? di xác_d?nh shiper d?i_tác k?t_n?i nhf hàng khách_hàng 1 khách_hàng ti?m_nang koh shiper khách_hàng s?n_sàng d? co_s? ngu?i_ta xác_d?nh koh mua d? hàng ki?u bóp dóng_c?a di
"Mình g?i 2 su?t v?, 1 su?t thì ?n nhung su?t còn l?i tr?ng thì dính tóc dua chu?t thì dính ru?i ? huhu
Quán c?n chú ý v? sinh d? khách an yên tâm hon ch? dang an ngon th?y con ru?i tí ng?t",0,mình g?i 2 su?t v? 1 su?t thì ?n nhung su?t còn l?i tr?ng thì dính tóc dua_chu?t thì dính ru?i ? huhu quán c?n chú_ý v?_sinh d? khách an yên_tâm hon ch? dang an ngon th?y con ru?i tí ng?t,g?i 2 su?t 1 su?t ?n nhung su?t tr?ng dính tóc dua_chu?t dính ru?i huhu quán chú_ý v?_sinh yên_tâm ngon ru?i tí ng?t
?nh qu?ng cáo và ?nh th?c t? c?a su?t com tr?n 50k :)),0,?nh qu?ng_cáo và ?nh th?c_t? c?a su?t com tr?n 50k,?nh qu?ng_cáo ?nh su?t com tr?n 50k
"Tr?i nghi?m d?u tiên di an buffet chay dó là c?m giác b? l?a d?i, khi mi?ng cá c?n l?i là d?u ph? :)) an tr?i nghi?m thôi ch? an xong no b?ng mà ng c? lâng lâng thi?u ch?t.",1,tr?i nghi?m d?u_tiên di an buffet chay dó là c?m_giác b? l?a_d?i khi mi?ng cá c?n l?i là d?u_ph? an tr?i nghi?m thôi ch? an xong no b?ng mà ng c? lâng_lâng thi?u_ch?t,tr?i nghi?m di buffet chay c?m_giác l?a_d?i mi?ng cá c?n d?u_ph? tr?i nghi?m xong no b?ng ng lâng_lâng thi?u_ch?t
Mình thu?ng u?ng sinh t? bo d?a ho?c bo xoài ? dây. Nhân viên là m?y b?n nam l? phép.,1,mình thu?ng u?ng sinh_t? bo d?a ho?c bo xoài ? dây nhân_viên là m?y b?n nam l?_phép,u?ng sinh_t? bo d?a bo xoài nhân_viên m?y nam l?_phép
"Mình order qua beamin, giá c? dã không c?p nh?t (nu?c ép luu: 35k trên web v?n là 30k)
Màu c?c d?c nhu nu?c v?a m?i mua xong. U?ng có v? hoi úng úng . . Nói chung là d? nh?t trong các lo?i nu?c ép l?u mình t?ng u?ng",0,mình order qua beamin giá_c? dã không c?p_nh?t nu?c ép luu 35k trên web v?n là 30k màu c?c d?c nhu nu?c v?a_m?i mua xong u?ng có v? hoi úng úng nói_chung là d? nh?t trong các lo?i nu?c ép l?u mình t?ng u?ng,order beamin giá_c? không c?p_nh?t ép luu 35k web 30k màu c?c d?c mua xong u?ng v? hoi úng úng d? ép l?u u?ng
"Mình là khách quen c?a Chewy Junior. V?n mua bánh thu?ng xuyên hay mua lo?i mini set. Hôm nay chuy?n sang lo?i bánh to thì th?y v? bánh khô nhu ki?u bánh cu, không dai ngon nhu m?i l?n. R?t mong bên c?a hàng hãy gi? ch?t lu?ng và uy tín c?a thuong hi?u.",0,mình là khách quen c?a chewy junior v?n mua bánh thu?ng_xuyên hay mua lo?i mini set hôm_nay chuy?n sang lo?i bánh to thì th?y v? bánh khô nhu ki?u bánh cu không dai ngon nhu m?i l?n r?t mong bên c?a_hàng hãy gi? ch?t_lu?ng và uy_tín c?a thuong_hi?u,quen chewy junior mua bánh thu?ng_xuyên mua mini set hôm_nay bánh to v? bánh khô ki?u bánh cu không dai ngon r?t mong c?a_hàng ch?t_lu?ng uy_tín thuong_hi?u
Thái d? nhân viên ph?c v? nhu ph?n ánh là quá láo toét. Qu?n lý nên xem l?i nhân viên m?i hi v?ng t?n t?i lâu dài du?c.,0,thái_d? nhân_viên ph?c_v? nhu ph?n_ánh là quá láo_toét qu?n_lý nên xem_l?i nhân_viên m?i hi_v?ng t?n_t?i lâu_dài du?c,thái_d? nhân_viên ph?c_v? ph?n_ánh quá láo_toét qu?n_lý nhân_viên hi_v?ng t?n_t?i lâu_dài
"Nuo´c lâ?u ngon, thi?t cu~ng ngon nô´t, mi`nh di cu`ng nho´m ba?n Ða?i ho?c, vê` tô?ng quan da´nh gia´ chung la` râ´t phu` ho?p",1,nuo c lâ u ngon thi t cu ng ngon nô t mi nh di cu ng nho mình ba n da i ho c vê tô ng quan da nh gia chung la râ t phu ho p,nuo c lâ u ngon thi t cu ng ngon nô t mi nh di cu ng nho n da i ho c vê tô ng quan da nh gia la râ t phu ho p
"Mình v?a od trên Now, c?m quan sach, b?t m?t. U?ng thì th?y Ép cóc loãng, d?a cung loãng. K bi?t u?n t?i ch? tn. Hy v?ng l?n sau d?t, ch?t luóng okie hon.",0,mình v?a od trên now c?m_quan sach b?t_m?t u?ng thì th?y ép cóc loãng d?a cung loãng không bi?t u?n t?i_ch? tn hy_v?ng l?n sau d?t ch?t luóng okie hon,od now c?m_quan sach b?t_m?t u?ng ép cóc loãng d?a loãng không u?n t?i_ch? tn hy_v?ng ch?t luóng okie
"Ðã t?ng g?i d? u?ng ship t?i dây v? co quan. Nhân ti?n d?p z?i qua quán h?n hò tí. Quán d? tìm, g?n khu công s?, d? u?ng t?m duoc, không gian tho?i mái, buôn chuy?n tung toé, hoa qu? d?m khá ngon :D",1,dã t?ng g?i d? u?ng ship t?i dây v? co_quan nhân_ti?n d?p z?i qua quán h?n_hò tí quán d? tìm g?n khu công_s? d? u?ng t?m duoc không_gian tho?i_mái buôn chuy?n tung_toé hoa_qu? d?m khá ngon d,g?i d? u?ng ship co_quan d?p z?i quán h?n_hò tí quán khu công_s? d? u?ng t?m duoc không_gian tho?i_mái buôn tung_toé hoa_qu? d?m ngon d
"Nice place to enjoy and relax. Foods are very delicious and fresh, especially salats. I'm very impressed in cocktails. All staffs are so great and always smile. In here, i have a feeling that i am travelling in Paris. If i have chance to come back Hanoi, i sure come back Ciel ?????????????",1,nice place to enjoy and relax foods are very delicious and fresh especially salats i mình very impressed in cocktails all staffs are so great and always smile in here i have a feeling that i am travelling in paris if i have chance to come back hanoi i sure come back ciel,nice place to enjoy and relax foods are very delicious and fresh especially salats i very impressed in cocktails all staffs are great and always smile in here i have a feeling that i am travelling in paris if i have chance to come back hanoi i sure come back ciel
"G?i com gà dùi bbq và mì s?t kem h?i s?n .
- Mình cung an vài l?n th?y khá ngon nhung l?n này thì d? an quá t?
G?i com dùi nhung k ph?i dùi và s?t thì ng?t .mì s?t kem nhung k th?y v? béo , và cung quá ng?t k an n?i. C? s?t gà và mì d?u ng?t ! K baoh an ? dây n?a",0,g?i com gà dùi bbq và mì s?t kem h?i_s?n mình cung an vài l?n th?y khá ngon nhung l?n này thì d? an quá t? g?i com dùi nhung không ph?i dùi và s?t thì ng?t mì s?t kem nhung không th?y v? béo và cung quá ng?t không an n?i c? s?t gà và mì d?u ng?t không baoh an_? dây n?a,g?i com gà dùi bbq mì s?t kem h?i_s?n ngon nhung d? quá t? g?i com dùi nhung không dùi s?t mì s?t kem nhung không v? béo quá không n?i s?t gà mì không baoh an_?
"Mình d?t set l?u tok 98k hai ng nhìn trong hình d?y d?m, lúc giao d?n du?c 1 h?p be bé và không th?y gi?ng trên hình quán t?i lên. Làm an gian d?i",0,mình d?t set l?u tok 98k hai ng nhìn trong hình d?y d?m lúc giao d?n du?c 1 h?p be_bé và không th?y gi?ng trên hình quán t?i lên làm_an_gian_d?i,set l?u tok 98k hai ng hình d?m giao 1 h?p be_bé không hình quán t?i làm_an_gian_d?i
"Nu?c m?m nh?t, th?t nhi?u m?. An ko ngon ??",0,nu?c_m?m nh?t th?t nhi?u m? an_không ngon,nu?c_m?m nh?t th?t m? an_không ngon
"An ? nhi?u King r?i nhung h?u nhu th?y m?i ch?***ph?c v? ok
Rõ ràng có chuong trình di 4 tính ti?n 3 nhung do anh ch? d?t qua Pasgo nên không du?c áp d?ng chuong trình nha.
À quên nvs di chung v?i trung tâm thuong m?i lotte nhá
G?i mi?n l?nh t? d?u b?a d?n cu?i b?a m?i dem ra, khách cung ko dông l?m mà nhân viên ko nu?ng cho dâu.
Tr?i ui ch?t lu?ng kém th?c s?",0,an_? nhi?u king r?i nhung h?u_nhu th?y m?i ch? ph?c_v? ok rõ_ràng có chuong_trình di 4 tính ti?n 3 nhung do anh_ch? d?t qua pasgo nên không du?c áp_d?ng chuong_trình nha à quên nvs di chung v?i trung_tâm thuong_m?i lotte nhá g?i mi?n l?nh t? d?u b?a d?n cu?i b?a m?i dem ra khách cung không dông l?m mà nhân_viên không nu?ng cho dâu tr?i ui ch?t_lu?ng kém th?c_s?,an_? king nhung h?u_nhu ch? ph?c_v? ok rõ_ràng chuong_trình di 4 ti?n 3 nhung anh_ch? pasgo không áp_d?ng chuong_trình nha quên nvs di trung_tâm thuong_m?i lotte nhá g?i mi?n l?nh d?u b?a b?a dem không dông l?m nhân_viên không nu?ng tr?i ui ch?t_lu?ng kém
"Com gà xé + nu?c qu?t là kh?i chê luôn nè
quán làm quá tuy?t v?i mi?ng th?t gà vàng uom ngon ng?t
nu?c canh di kèm cung ngon
giá c? r?t h?p lý",1,com gà xé nu?c qu?t là kh?i chê luôn nè quán làm quá tuy?t_v?i mi?ng th?t gà vàng uom ngon_ng?t nu?c canh di kèm cung ngon giá_c? r?t h?p_lý,com gà xé qu?t chê nè quán quá tuy?t_v?i mi?ng th?t gà vàng uom ngon_ng?t canh di kèm ngon giá_c? r?t h?p_lý
Bánh mì gà n?m siêu ít th?t ít s?t an ko dã. Bánh mì bò s?t tiêu den cung có v? ko ngon,0,bánh_mì gà n?m siêu ít th?t ít s?t an_không dã bánh_mì bò s?t tiêu den cung có v? không ngon,bánh_mì gà n?m siêu th?t s?t an_không bánh_mì bò s?t tiêu den v? không ngon
"Quán ph? này n?m ngay ngã tu Nguy?n Chí Thanh - Láng. Quán ch? bán m?t lo?i là ph? bò tái, có th? g?i thêm qu?y. M?t bát nhu trong hình là 30k. Bát ph? nhi?u th?t bò, bánh ph? cung nhi?u n?a. Ph? bò ch? này cung nhi?u hành không kém ph? Thìn :))) Nu?c dùng ngon , dáng giá ti?n. 
Tuy nhiên quán nhìn không s?ch s? l?m, gi?y an cung ki?u b?n b?n @@ Quán này thì tr? ti?n tru?c r?i m?i mang d? ra. Nhân viên nhanh nh?n nhung nhìn không thân thi?n l?m. Quán bán r?t dông khách vào bu?i sáng.",1,quán ph? này n?m ngay ngã tu nguy?n chí thanh láng quán ch? bán m?t lo?i là ph? bò tái có_th? g?i thêm qu?y m?t bát nhu trong hình là 30k bát ph? nhi?u th?t bò bánh_ph? cung nhi?u n?a ph? bò ch? này cung nhi?u hành không kém ph? thìn nu?c_dùng ngon dáng_giá ti?n tuy_nhiên quán nhìn không s?ch_s? l?m gi?y_an cung ki?u b?n b?n quán này thì tr? ti?n tru?c r?i m?i mang d? ra nhân_viên nhanh_nh?n nhung nhìn không thân_thi?n l?m quán bán r?t dông khách vào bu?i sáng,quán ph? n?m ngã tu nguy?n chí láng quán ph? bò tái g?i qu?y bát hình 30k bát ph? th?t bò bánh_ph? ph? bò ch? hành không kém ph? thìn nu?c_dùng ngon dáng_giá ti?n tuy_nhiên quán không s?ch_s? l?m gi?y_an ki?u b?n b?n quán ti?n d? nhân_viên nhanh_nh?n nhung không thân_thi?n l?m quán r?t dông
